Postal code,date,n_daily_data_points,dayOfWeek,day_type,BlueCars_taken_sum,BlueCars_returned_sum,Utilib_taken_sum,Utilib_returned_sum,Utilib_14_taken_sum,Utilib_14_returned_sum,Slots_freed_sum,Slots_taken_sum
75001,1/1/2018,1440,0,weekday,110,103,3,2,10,9,22,20
75001,1/2/2018,1438,1,weekday,98,94,1,1,8,8,23,22
75001,1/3/2018,1439,2,weekday,138,139,0,0,2,2,27,27
75001,1/4/2018,1320,3,weekday,104,104,2,2,9,8,25,21
75001,1/5/2018,1440,4,weekday,114,117,3,3,6,6,18,20
75001,1/6/2018,1437,5,weekend,187,185,6,6,7,8,38,35
75001,1/7/2018,1440,6,weekend,180,180,2,2,10,9,34,34
75001,1/8/2018,1438,0,weekday,84,83,3,3,10,10,14,15
75001,1/9/2018,1439,1,weekday,81,84,1,1,4,4,15,15
75001,1/10/2018,1440,2,weekday,88,85,5,5,11,11,23,22
75001,1/11/2018,1440,3,weekday,125,125,3,4,13,13,22,22
75001,1/12/2018,1439,4,weekday,126,127,3,2,12,12,11,13
75001,1/13/2018,1440,5,weekend,224,223,2,2,15,15,38,38
75001,1/14/2018,1440,6,weekend,193,193,2,2,12,12,22,20
75001,1/15/2018,1440,0,weekday,107,107,4,4,9,9,15,15
75001,1/16/2018,1440,1,weekday,116,116,1,1,8,8,19,20
75001,1/17/2018,1440,2,weekday,118,118,2,2,7,7,16,15
75001,1/18/2018,1439,3,weekday,122,122,7,7,8,8,21,21
75001,1/19/2018,1440,4,weekday,130,130,3,3,7,7,17,19
75001,1/20/2018,1439,5,weekend,217,217,2,2,25,25,41,39
75001,1/21/2018,1440,6,weekend,143,150,4,4,8,8,23,25
75001,1/22/2018,1440,0,weekday,123,116,2,2,5,5,14,14
75001,1/23/2018,1439,1,weekday,112,113,3,3,10,10,11,9
75001,1/24/2018,1434,2,weekday,108,107,7,7,14,14,24,25
75001,1/25/2018,1398,3,weekday,130,130,0,0,4,4,20,20
75001,1/26/2018,1437,4,weekday,145,146,0,0,7,7,35,37
75001,1/27/2018,1440,5,weekend,216,218,1,1,12,12,36,36
75001,1/28/2018,1440,6,weekend,190,189,5,5,10,10,32,30
75001,1/29/2018,1440,0,weekday,83,81,2,2,3,3,17,16
75001,1/30/2018,1440,1,weekday,103,103,2,2,3,3,11,11
75001,1/31/2018,1440,2,weekday,108,110,2,2,4,4,13,14
75001,2/1/2018,1440,3,weekday,112,110,4,4,15,15,21,20
75001,2/2/2018,1440,4,weekday,146,147,3,3,6,6,28,28
75001,2/3/2018,1438,5,weekend,199,204,4,4,15,15,34,37
75001,2/4/2018,1440,6,weekend,186,180,2,2,17,17,36,33
75001,2/5/2018,1440,0,weekday,121,121,2,2,7,7,17,18
75001,2/6/2018,1439,1,weekday,118,118,4,4,3,3,12,11
75001,2/7/2018,1439,2,weekday,98,99,8,8,10,10,19,19
75001,2/8/2018,1438,3,weekday,113,112,5,5,9,9,15,15
75001,2/9/2018,1439,4,weekday,109,109,5,5,4,4,14,15
75001,2/10/2018,1440,5,weekend,207,207,5,5,12,12,28,27
75001,2/11/2018,1440,6,weekend,160,165,7,7,16,16,32,33
75001,2/12/2018,1440,0,weekday,115,111,1,1,7,7,18,19
75001,2/13/2018,1440,1,weekday,94,93,6,6,9,10,21,19
75001,2/14/2018,1440,2,weekday,99,99,2,2,5,4,19,20
75001,2/15/2018,1437,3,weekday,119,119,3,3,6,6,18,18
75001,2/16/2018,1439,4,weekday,130,130,0,0,11,12,27,28
75001,2/17/2018,1440,5,weekend,176,176,4,4,9,8,36,36
75001,2/18/2018,1438,6,weekend,157,158,1,1,11,11,26,25
75001,2/19/2018,1420,0,weekday,85,86,1,1,9,9,12,12
75001,2/20/2018,1425,1,weekday,100,98,3,3,9,9,11,11
75001,2/21/2018,1440,2,weekday,116,116,1,1,10,10,23,22
75001,2/22/2018,1440,3,weekday,121,122,4,4,11,11,21,21
75001,2/23/2018,1440,4,weekday,135,135,3,3,8,8,17,18
75001,2/24/2018,1396,5,weekend,8,9,0,0,0,0,0,0
75001,2/28/2018,1429,2,weekday,92,91,0,1,5,5,18,18
75001,3/1/2018,1389,3,weekday,127,131,6,5,8,8,32,31
75001,3/2/2018,1440,4,weekday,136,137,9,9,4,6,20,23
75001,3/3/2018,1440,5,weekend,192,193,1,1,9,7,27,26
75001,3/4/2018,1440,6,weekend,168,165,4,4,16,16,28,28
75001,3/5/2018,1440,0,weekday,102,103,1,1,12,12,21,19
75001,3/6/2018,1439,1,weekday,122,121,2,2,6,6,23,23
75001,3/7/2018,1440,2,weekday,118,118,2,2,10,10,21,21
75001,3/8/2018,1439,3,weekday,113,113,3,3,8,8,17,19
75001,3/9/2018,1440,4,weekday,135,138,4,4,13,13,20,18
75001,3/10/2018,1440,5,weekend,207,208,5,5,15,15,48,50
75001,3/11/2018,1440,6,weekend,180,177,3,3,12,12,30,28
75001,3/12/2018,1440,0,weekday,99,98,6,6,1,1,15,17
75001,3/13/2018,1440,1,weekday,123,124,2,2,4,4,19,18
75001,3/14/2018,1440,2,weekday,102,101,5,5,12,12,23,23
75001,3/15/2018,1440,3,weekday,134,135,1,1,10,10,22,21
75001,3/16/2018,1440,4,weekday,145,145,3,3,13,13,36,40
75001,3/17/2018,1440,5,weekend,197,203,2,2,21,21,34,31
75001,3/18/2018,1440,6,weekend,173,169,6,6,11,12,28,27
75001,3/19/2018,1440,0,weekday,99,96,3,3,18,18,16,17
75001,3/20/2018,1440,1,weekday,98,98,3,3,5,4,25,24
75001,3/21/2018,1440,2,weekday,135,136,3,3,5,5,24,24
75001,3/22/2018,1440,3,weekday,143,142,9,9,3,3,22,24
75001,3/23/2018,1440,4,weekday,131,131,2,2,5,5,16,15
75001,3/24/2018,1440,5,weekend,196,196,11,11,13,13,27,27
75001,3/25/2018,1380,6,weekend,150,154,3,3,11,12,29,28
75001,3/26/2018,1439,0,weekday,102,100,0,0,10,10,20,23
75001,3/27/2018,1440,1,weekday,98,97,4,4,18,17,18,16
75001,3/28/2018,1440,2,weekday,103,103,4,4,8,8,16,18
75001,3/29/2018,1440,3,weekday,145,144,4,4,9,9,18,18
75001,3/30/2018,1434,4,weekday,126,128,6,6,11,11,25,23
